Jahr;Mittelwert;Median;Gini;P80/20;Top10%
2005;22563,37;20201,35;0,26;3,81;0,18
2006;22630,04;20050,78;0,26;3,71;0,18
2007;23991,66;20998,94;0,27;3,85;0,22
2008;25164,91;21910,98;0,27;3,89;0,26
2009;25318,40;22305,92;0,27;3,92;0,26
2010;24921,81;22339,24;0,26;3,67;0,23
2011;24275,70;21746,54;0,26;3,60;0,21
2012;23931,14;21368,53;0,26;3,68;0,21
2013;23470,30;21173,06;0,25;3,63;0,19
2014;23314,33;21011,26;0,26;3,72;0,19
2015;23813,86;21293,98;0,27;3,83;0,21
2016;25472,71;22870,84;0,26;3,86;0,25
2017;26109,90;23504,82;0,27;3,90;0,27
