Jahr;Mittelwert;Median;Gini;P80/20;Top10%
2005;27348,50;24851,05;0,44;47,13;0,23
2006;27515,60;24270,50;0,45;48,78;0,26
2007;28718,28;25230,42;0,45;46,58;0,28
2008;30985,71;27498,34;0,45;41,30;0,32
2009;31613,26;28458,06;0,44;38,26;0,32
2010;30687,05;28152,22;0,44;37,76;0,30
2011;29966,96;27301,31;0,44;49,18;0,30
2012;29632,25;27222,47;0,44;47,81;0,29
2013;29206,52;26924,03;0,44;50,66;0,29
2014;27774,05;25160,06;0,46;52,41;0,27
2015;28064,04;24957,41;0,47;72,49;0,29
2016;28945,42;26096,53;0,46;62,19;0,29
2017;29519,86;26768,32;0,46;67,75;0,30
