Jahr;Mittelwert;Median;Gini;P80/20;Top10%
2005;32131,15;27868,99;0,34;6,17;0,21
2006;32312,43;27720,37;0,35;6,83;0,23
2007;33473,65;28273,24;0,35;6,87;0,25
2008;35946,71;30537,20;0,35;6,77;0,28
2009;36743,04;31631,24;0,35;6,83;0,29
2010;36146,24;31958,11;0,33;6,40;0,27
2011;35574,68;31153,07;0,34;6,59;0,27
2012;35102,32;30790,12;0,33;6,38;0,25
2013;34880,92;30583,63;0,34;6,59;0,26
2014;33504,24;29245,84;0,34;6,87;0,24
2015;34149,10;29497,13;0,36;7,29;0,26
2016;35002,77;30438,18;0,35;6,82;0,26
2017;35619,89;30857,99;0,35;6,90;0,27
