Jahr;Mittelwert;Median;Gini;P80/20;Top10%
2005;25243,48;21086,45;0,39;9,01;0,26
2006;25021,94;20640,99;0,40;9,48;0,26
2007;26320,68;21209,78;0,41;9,78;0,30
2008;27201,26;22018,99;0,40;9,79;0,31
2009;27322,68;22136,01;0,40;9,60;0,32
2010;26837,40;22245,22;0,38;8,80;0,30
2011;25987,16;21515,95;0,38;8,75;0,28
2012;25800,29;21436,99;0,39;9,07;0,28
2013;25154,72;20671,91;0,39;9,05;0,27
2014;24879,58;20584,72;0,39;9,18;0,26
2015;25351,81;20678,00;0,39;9,06;0,27
2016;26494,21;21540,06;0,39;9,30;0,30
2017;26716,83;21894,48;0,39;9,39;0,30
