Jahr;Mittelwert;Median;Gini;P80/20;Top10%
2005;27162,66;23086,53;0,53;272,15;0,29
2006;27070,72;21832,70;0,54;248,35;0,31
2007;28221,34;22351,59;0,55;250,02;0,34
2008;30041,16;24356,10;0,54;214,36;0,36
2009;30649,46;25287,19;0,53;176,67;0,37
2010;29699,53;25026,60;0,52;180,06;0,35
2011;28842,11;23820,04;0,53;230,92;0,34
2012;28489,04;23993,30;0,53;253,10;0,34
2013;27892,10;22543,27;0,54;273,89;0,34
2014;26500,27;20443,93;0,55;280,49;0,32
2015;26592,65;20029,09;0,56;421,20;0,34
2016;27483,80;21291,33;0,55;311,76;0,34
2017;27698,41;21825,67;0,55;419,43;0,35
